Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
173,12.52922471,26.033,1.36353,6.24983,29.5157,10.4779,-14.4417,-1.96724,-10.7624,-11.4782,710.769,945.25
174,12.35630793,25.4677,1.2191,5.36953,27.8607,9.74538,-15.3529,-2.32376,-10.5163,-12.1225,694.166,948.049
175,11.71686112,25.577,3.7155,3.24384,28.3182,12.5886,12.3281,1.71098,-1.59314,-0.358253,745.895,983.039
176,11.80561472,25.5676,3.64981,2.97976,27.3033,12.1577,11.7395,1.41413,-1.41743,-0.987112,731.147,984.411
177,11.86446585,25.4203,3.57919,2.71164,26.2199,11.6951,11.0647,1.09672,-1.25732,-1.63313,716.338,986.096
178,11.87370233,25.1211,3.5037,2.43889,25.0775,11.2082,10.3063,0.761523,-1.11261,-2.29443,701.466,988.079
179,11.83616232,24.6546,3.42289,2.16062,23.8844,10.7044,9.46611,0.411769,-0.982694,-2.96832,686.523,990.344
180,11.74621902,24.0052,3.33566,1.87606,22.6478,10.1902,8.54524,0.0511869,-0.866522,-3.65125,671.506,992.874
181,14.96663971,33.3498,4.4764,4.72386,45.303,14.0963,19.4719,-0.81101,-4.63243,-187.534,643.968,1008.83
182,15.08946095,33.5765,4.40676,4.34697,44.2508,13.3073,19.1745,-1.20328,-4.66697,-188.449,624.499,1010.18
183,15.15643982,33.5521,4.33083,3.92812,43.0704,12.4865,18.7937,-1.61447,-4.68999,-189.344,604.887,1011.99
184,15.13815455,33.2548,4.24984,3.46825,41.7664,11.6472,18.3306,-2.03984,-4.69444,-190.213,585.128,1014.23
185,15.03455169,32.6621,4.16434,2.96875,40.3418,10.8041,17.7824,-2.47477,-4.67331,-191.049,565.219,1016.89
186,14.84131303,31.7513,4.074,2.43156,38.7991,9.97231,17.142,-2.91504,-4.61996,-191.845,545.162,1019.93
187,10.62382089,27.9099,2.255,6.39666,40.7578,9.84416,-7.43741,0.0113203,-2.97764,-0.359223,720.725,970.094
188,10.74923072,28.1398,2.19449,6.09243,40.011,9.36742,-7.47212,-0.135594,-2.74901,-0.829646,705.542,971.477
189,10.82380623,28.2328,2.11748,5.76993,39.155,8.8503,-7.58793,-0.31109,-2.52592,-1.32304,690.337,973.189
190,10.83965522,28.1837,2.02527,5.43178,38.1952,8.30469,-7.78572,-0.513806,-2.31056,-1.83901,675.104,975.22
191,10.7898981,27.9866,1.91873,5.07986,37.1368,7.74175,-8.06732,-0.741999,-2.10421,-2.3758,659.839,977.554
192,10.67505867,27.6354,1.79833,4.71529,35.9849,7.1716,-8.43523,-0.993664,-1.90719,-2.93042,644.539,980.174
193,21.38566555,33.4989,3.92008,8.99698,43.2565,10.9867,10.7705,1.07107,-2.21128,-5.22491,742.961,946.677
194,21.8490927,33.6887,3.8502,8.38001,42.1276,10.4512,10.5034,0.705186,-1.93885,-5.69187,723.797,948.044
195,22.13198025,33.602,3.76634,7.71721,40.8415,9.91314,10.0813,0.32095,-1.64717,-6.1689,704.569,949.82
196,22.26202224,33.2339,3.66902,7.01947,39.424,9.38303,9.51002,-0.0772847,-1.34462,-6.65911,685.267,951.982
197,22.19221072,32.5797,3.55817,6.29703,37.9005,8.86922,8.79465,-0.484709,-1.03873,-7.16349,665.886,954.5
198,21.89637273,31.6349,3.4332,5.55936,36.2958,8.37772,7.94066,-0.896214,-0.735904,-7.68097,646.419,957.341
199,28.02779919,30.0558,1.18771,4.08032,37.489,1.62235,14.8933,6.13619,-10.1678,2.17895,626.552,866.842
200,28.49033416,30.2275,1.05171,3.13104,36.5344,0.806955,14.8725,5.45059,-10.1418,1.01644,611.221,869.411
201,28.79152472,30.206,0.905283,2.17893,35.4861,-7.88E-05,14.7812,4.75575,-10.1006,-0.153069,595.81,872.259
202,28.90216468,29.9723,0.750654,1.23506,34.3465,-0.758898,14.603,4.05778,-10.0419,-1.31963,580.319,875.369
203,28.73143075,29.5066,0.590394,0.311555,33.1213,-1.43477,14.3245,3.36262,-9.96405,-2.47404,564.748,878.724
204,28.27331696,28.7881,0.427403,-0.578825,31.8189,-2.00086,13.9372,2.67603,-9.86568,-3.60782,549.097,882.302
205,14.33441467,24.8026,7.94772,2.79436,12.5736,18.5523,3.45919,1.48647,-5.84785,-5.38776,748.754,925.104
206,14.58003829,24.7261,7.95383,2.44659,11.9321,17.9292,3.18174,1.18849,-5.63859,-5.68486,732.442,926.672
207,14.70758946,24.4091,7.95535,2.07446,11.2177,17.2629,2.81967,0.876001,-5.43481,-5.98415,716.089,928.527
208,14.68336654,23.8316,7.95031,1.68064,10.4379,16.5589,2.37482,0.553242,-5.23727,-6.28458,699.692,930.651
209,14.52712625,22.9725,7.93545,1.26826,9.60183,15.8225,1.84848,0.224285,-5.04623,-6.58479,683.247,933.024
210,14.20037095,21.8098,7.90645,0.840777,8.71932,15.0589,1.24212,-0.107173,-4.86157,-6.88319,666.751,935.625
211,16.42111549,27.883,4.51219,9.42906,27.4918,17.0634,4.5014,4.55907,-8.81866,0.729339,620.338,971.603
212,16.61998787,27.6348,4.41511,8.82651,25.9503,16.2715,3.72356,4.16485,-8.94557,-0.109399,600.802,973.851
213,16.71713789,27.0618,4.30931,8.1613,24.3028,15.4306,2.80263,3.73522,-9.07733,-0.981066,581.19,976.505
214,16.68649631,26.1423,4.19487,7.43817,22.5742,14.5501,1.74628,3.27424,-9.2113,-1.87783,561.49,979.54
215,16.50150659,24.8591,4.07165,6.6631,20.7881,13.642,0.563444,2.78693,-9.34407,-2.79071,541.693,982.926
216,16.13266353,23.2007,3.93938,5.84348,18.9673,12.7203,-0.734031,2.27919,-9.47184,-3.71002,521.791,986.631
217,12.36626709,27.5332,2.68989,18.2288,39.6867,-4.62745,5.68382,5.64871,-8.70974,0.547252,667.882,928.593
218,12.57465004,27.7627,2.55299,17.252,38.6365,-5.46033,5.82073,5.00957,-8.36727,0.351779,651.771,930.377
219,12.71477769,27.7737,2.41652,16.2295,37.3964,-6.14751,5.84838,4.34993,-8.00183,0.163629,635.676,932.506
220,12.75537331,27.5465,2.28305,15.1851,35.9789,-6.67379,5.75281,3.68256,-7.61953,-0.0220353,619.595,934.961
221,12.71693722,27.064,2.15271,14.1422,34.4069,-7.04253,5.51937,3.01998,-7.22617,-0.209072,603.519,937.722
222,12.5955429,26.3123,2.02337,13.1221,32.711,-7.27226,5.1348,2.37391,-6.82694,-0.400042,587.438,940.769
223,11.53107385,22.8973,6.80002,9.56114,21.1083,17.4924,5.28187,3.87715,-1.58347,-4.95962,841.241,994.854
224,11.61297485,22.8007,6.86687,9.24592,20.0857,17.1729,5.18699,3.74033,-1.52747,-5.41084,828.341,997.409
225,11.65989183,22.5399,6.92128,8.92637,19.0316,16.8129,5.0104,3.59883,-1.48152,-5.8764,815.412,1000.19
226,11.68044309,22.0922,6.95059,8.62268,17.9785,16.3824,4.71562,3.45399,-1.4456,-6.35332,802.453,1003.19
227,11.64818627,21.4376,6.94288,8.35209,16.9556,15.858,4.27286,3.30717,-1.41924,-6.83832,789.46,1006.38
228,11.52631018,20.5618,6.88876,8.12702,15.9854,15.225,3.66359,3.15975,-1.40168,-7.32785,776.429,1009.75
229,13.97908746,22.6201,1.69253,1.45129,33.2128,0.712029,5.59614,-3.22478,-3.98683,-4.51341,741.642,962.04
230,14.19204006,22.9601,1.67385,0.780237,33.0485,0.702039,5.6481,-3.64596,-3.75681,-4.75379,724.167,963.013
231,14.29053807,23.0906,1.64263,0.0530294,32.6836,0.73063,5.56873,-4.05231,-3.45725,-4.93645,706.592,964.476
232,14.29094744,22.993,1.59755,-0.716187,32.1267,0.786505,5.36423,-4.44077,-3.09186,-5.06835,688.91,966.413
233,14.16193827,22.6474,1.53709,-1.51064,31.3894,0.857199,5.041,-4.80841,-2.66613,-5.15746,671.115,968.799
234,13.88275719,22.0334,1.45959,-2.31098,30.486,0.930226,4.60557,-5.15189,-2.18741,-5.21267,653.199,971.604
235,13.7641527,31.3643,1.36679,1.553,59.8789,7.73902,3.58775,-1.89468,2.37556,3.84573,649.511,904.994
236,13.96640232,31.7929,1.27364,1.07189,59.2293,6.33179,3.64986,-2.55364,1.81809,2.59887,628.016,906.592
237,14.07531465,32.0429,1.1614,0.445382,58.4248,5.0227,3.57742,-3.23408,1.30095,1.35551,606.448,908.659
238,14.07598409,32.0746,1.03413,-0.312766,57.4436,3.90589,3.35292,-3.92464,0.838009,0.116335,584.812,911.181
239,13.97009088,31.8469,0.895305,-1.18297,56.2731,3.04828,2.96098,-4.61426,0.439853,-1.1189,563.107,914.141
240,13.75221815,31.3174,0.747035,-2.14166,54.91,2.48042,2.38856,-5.29266,0.112988,-2.35144,541.33,917.516
241,14.20566472,26.8506,6.29146,6.27939,33.3493,5.24955,6.99286,1.16883,-4.64953,-2.64147,768.231,979.721
242,14.5168735,27.1258,6.20174,5.70456,32.617,4.79544,7.25052,0.796671,-4.48257,-3.08442,751.734,980.621
243,14.69235105,27.2105,6.08951,5.12107,31.7318,4.36396,7.34032,0.408111,-4.3326,-3.56403,735.192,981.927
244,14.73123994,27.0926,5.95764,4.5333,30.7038,3.95989,7.26426,0.00739653,-4.19968,-4.07714,718.596,983.624
245,14.62248567,26.7591,5.80863,3.94385,29.5408,3.58447,7.02774,-0.401533,-4.08217,-4.61821,701.936,985.696
246,14.38119902,26.1961,5.64409,3.35406,28.2498,3.23562,6.63878,-0.814993,-3.97692,-5.17949,685.204,988.119
247,22.05140157,21.6075,3.01746,4.09288,28.7268,13.2036,-8.96797,-3.25795,-0.24165,-4.96214,828.175,969.987
248,22.63296799,22.3101,3.0256,4.05467,28.4452,12.8391,-8.76226,-3.39414,-0.200901,-5.50349,810.809,969.54
249,23.00134005,22.7042,3.02527,3.97746,27.8073,12.369,-8.80002,-3.53266,-0.135947,-6.00752,793.377,969.915
250,23.13258844,22.7613,3.01509,3.85565,26.8245,11.7991,-9.09827,-3.67808,-0.0408612,-6.46786,775.873,971.091
251,23.02458344,22.454,2.99346,3.68444,25.5187,11.1341,-9.668,-3.83514,0.0885965,-6.88058,758.291,973.029
252,22.65545184,21.7575,2.95855,3.46034,23.9203,10.3778,-10.5132,-4.00812,0.254864,-7.24405,740.625,975.677
253,14.59465715,21.9573,-0.35985,4.90107,39.8676,8.88063,2.73513,-3.34597,-7.58445,-4.99121,743.617,954.912
254,14.90691792,22.1764,-0.414468,4.32955,38.8996,8.56742,2.50087,-3.8158,-7.83606,-5.82191,724.612,955.834
255,15.04229011,22.168,-0.492994,3.67267,37.7446,8.32037,2.02275,-4.29966,-8.05682,-6.60916,705.517,957.231
256,15.02475723,21.9145,-0.595405,2.93934,36.4226,8.12188,1.31302,-4.79512,-8.24073,-7.35077,686.325,959.094
257,14.84357304,21.3965,-0.721443,2.14136,34.9551,7.95475,0.387001,-5.29921,-8.38313,-8.04621,667.027,961.407
258,14.48684306,20.5923,-0.870585,1.29268,33.3657,7.8036,-0.736447,-5.80853,-8.48092,-8.69639,647.62,964.147
259,15.1599881,20.4767,-0.916404,3.3382,29.8873,-3.07358,15.3807,2.07362,-5.63975,-5.85779,740.175,979.788
260,15.4361839,20.8747,-0.982361,3.10482,29.252,-3.20427,15.4664,1.83528,-5.67846,-6.566,722.948,980.582
261,15.61187941,21.0082,-1.06188,2.81753,28.3802,-3.15102,15.2819,1.55532,-5.66968,-7.26371,705.668,981.909
262,15.67263289,20.86,-1.15383,2.48389,27.3054,-2.92523,14.8204,1.24125,-5.6125,-7.94767,688.329,983.737
263,15.61949275,20.4102,-1.25714,2.11216,26.0587,-2.54471,14.0814,0.901173,-5.50711,-8.6138,670.925,986.025
264,15.44571187,19.6367,-1.37069,1.71101,24.6691,-2.03258,13.0734,0.543401,-5.35499,-9.25748,653.451,988.73
265,11.0954478,33.9398,5.39101,5.36094,40.6762,16.5095,9.05031,-6.39208,-16.9581,0.276496,648.223,1036.48
266,11.20741851,33.9758,5.38247,4.9402,39.6172,15.9018,8.80374,-6.57511,-16.8132,-0.420996,629.82,1037.36
267,11.27241998,33.8125,5.3612,4.46601,38.4149,15.275,8.40533,-6.74273,-16.6022,-1.07733,611.273,1038.73
268,11.28107314,33.4327,5.32549,3.95246,37.0834,14.6185,7.85955,-6.88862,-16.327,-1.69247,592.58,1040.57
269,11.22025304,32.8193,5.2736,3.41276,35.6365,13.9258,7.17225,-7.00818,-15.9893,-2.26632,573.74,1042.85
270,11.09611176,31.9554,5.20354,2.85855,34.0873,13.195,6.34952,-7.09881,-15.5908,-2.79851,554.755,1045.54
271,10.40084181,22.8306,1.58145,10.9485,38.0945,0.353501,-5.39809,-0.330661,-14.9442,-10.821,610.073,993.106
272,10.65886565,23.0585,1.52427,10.3926,37.2788,0.260498,-5.56242,-0.64682,-14.9609,-11.3427,592.929,994.007
273,10.82652248,23.1662,1.43022,9.7591,36.4625,0.0863169,-5.83939,-0.996569,-14.9472,-11.8391,575.649,995.33
274,10.88634928,23.1349,1.30409,9.04957,35.6393,-0.147259,-6.20713,-1.37546,-14.9032,-12.3104,558.234,997.062
275,10.83248569,22.9424,1.15174,8.26452,34.7908,-0.411103,-6.64382,-1.77856,-14.829,-12.7566,540.685,999.186
276,10.65699875,22.564,0.97883,7.40424,33.8928,-0.673185,-7.13211,-2.20056,-14.7245,-13.1773,523.009,1001.68
277,14.3601399,27.2084,1.53829,5.90596,37.1351,5.36227,14.9301,3.66559,0.986116,-10.7427,848.775,939.52
278,14.69297152,27.5406,1.46936,5.66891,35.5132,5.19498,14.1522,3.36361,1.63501,-11.0379,830.483,940.365
279,14.85926102,27.6309,1.37019,5.4491,33.6918,5.02693,12.9815,3.03596,2.32332,-11.3186,812.125,941.603
280,14.85500857,27.4767,1.24275,5.24972,31.7118,4.85646,11.443,2.68643,3.04354,-11.5838,793.693,943.213
281,14.67066938,27.0762,1.08912,5.072,29.6148,4.68366,9.56887,2.31935,3.78725,-11.8325,775.181,945.163
282,14.37317495,26.4275,0.911451,4.91544,27.4434,4.50986,7.39972,1.93959,4.54528,-12.0644,756.587,947.42
283,16.06121402,28.4695,1.33284,4.32028,44.0486,1.96937,8.96207,1.91806,-9.96701,-4.0184,694.344,938.79
284,16.34107925,28.7452,1.2678,3.72481,43.011,1.92695,8.42623,1.63801,-9.53725,-4.47701,677.599,940.315
285,16.49707954,28.82,1.19099,3.11116,41.8568,1.90896,7.74813,1.33878,-9.08458,-4.9052,660.771,942.273
286,16.55237185,28.6838,1.10331,2.48436,40.6104,1.91534,6.94293,1.02416,-8.61287,-5.30084,643.856,944.643
287,16.48417669,28.3259,1.00522,1.84892,39.2938,1.94643,6.02523,0.698022,-8.12627,-5.66264,626.85,947.395
288,16.27424237,27.7344,0.896675,1.20904,37.9271,2.00231,5.00849,0.364399,-7.62911,-5.99034,609.751,950.498
289,11.32382343,31.7468,4.40192,5.79681,33.9787,17.6624,8.05708,3.88095,-11.0632,-12.8041,838.66,990.193
290,11.46658938,31.7087,4.33661,5.25421,32.9514,16.9777,8.03038,3.64119,-11.0132,-13.4144,819.805,991.21
291,11.54605051,31.4262,4.26015,4.70034,31.8316,16.2318,7.87072,3.39841,-10.9286,-14.0054,800.864,992.553
292,11.55061494,30.8833,4.1732,4.14548,30.6284,15.4365,7.56918,3.15559,-10.81,-14.5858,781.824,994.2
293,11.45069263,30.0632,4.0766,3.59846,29.3466,14.6068,7.11687,2.91505,-10.6587,-15.1628,762.674,996.128
294,11.24486424,28.9483,3.97124,3.06655,27.9875,13.7591,6.50611,2.67843,-10.4768,-15.7412,743.406,998.314
295,13.67771506,25.2332,5.06573,7.80154,26.3422,14.0951,15.3672,3.45373,-4.18103,1.36391,683.052,998.294
296,13.87926385,25.4363,4.96783,7.32627,25.5696,13.163,15.1395,3.01715,-3.90312,0.880655,666.425,1000.21
297,13.9897716,25.3999,4.86649,6.80396,24.6337,12.2474,14.7834,2.55154,-3.61338,0.385476,649.755,1002.48
298,14.02604251,25.1139,4.76398,6.24267,23.5504,11.3587,14.3135,2.06317,-3.31573,-0.123899,633.037,1005.08
299,13.96703812,24.5699,4.66176,5.6514,22.3402,10.503,13.7462,1.55849,-3.01375,-0.648485,616.271,1007.99
300,13.83362939,23.7605,4.56026,5.03967,21.0268,9.68304,13.0987,1.04396,-2.71057,-1.18802,599.454,1011.2
301,15.86780265,28.0761,4.02923,-0.545891,27.4651,26.37,8.17798,-0.887636,-5.54916,-7.34199,788.273,919.708
302,16.00583482,27.8375,3.95442,-1.05621,26.5226,25.7222,7.83534,-1.20621,-5.62027,-8.03764,772.687,921.143
303,16.06577483,27.4174,3.87704,-1.59946,25.4718,25.0221,7.40209,-1.54123,-5.66733,-8.72394,757.029,922.993
304,16.03865663,26.8078,3.79713,-2.17061,24.3223,24.2741,6.88286,-1.88944,-5.68775,-9.39405,741.294,925.24
305,15.90856111,25.9996,3.71445,-2.76409,23.0836,23.4822,6.28194,-2.24746,-5.67922,-10.0413,725.475,927.864
306,15.67466752,24.9833,3.62844,-3.37381,21.7651,22.6501,5.6033,-2.61187,-5.64011,-10.6597,709.571,930.838
307,9.653674739,28.94,0.962088,1.79004,37.6376,12.9141,-9.20621,-3.61896,-7.17436,-4.10726,907.284,959.123
308,9.880914263,29.1474,0.90027,1.2615,36.2641,12.4228,-9.85606,-3.84944,-6.97349,-4.42339,888.654,961.725
309,10.02049315,29.14,0.829969,0.700228,34.7027,11.8887,-10.6137,-4.08864,-6.74381,-4.73001,869.965,964.685
310,10.06074449,28.8967,0.751039,0.111735,32.9725,11.3174,-11.468,-4.33398,-6.48884,-5.02993,851.213,967.973
311,9.995125026,28.3965,0.662997,-0.497116,31.0971,10.7129,-12.4069,-4.58262,-6.21284,-5.32598,832.396,971.559
312,9.821595763,27.6193,0.565148,-1.11825,29.1038,10.0792,-13.4173,-4.83145,-5.92061,-5.62083,813.511,975.407
313,24.48727534,23.8175,3.06529,5.88465,35.2361,19.3131,10.6324,-0.00710684,-5.0181,-0.518366,639.522,910.218
314,25.12914516,24.4409,3.04798,5.32104,34.7002,19.023,10.5895,-0.318937,-4.78809,-1.2948,616.995,911.136
315,25.54073264,24.7091,3.01426,4.66662,33.9023,18.7043,10.3239,-0.654043,-4.51212,-2.03147,594.361,912.642
316,25.62254856,24.5993,2.96271,3.93417,32.8671,18.3553,9.83373,-1.00971,-4.1962,-2.72438,571.611,914.712
317,25.383679,24.0903,2.89162,3.13725,31.618,17.9731,9.11655,-1.38303,-3.84604,-3.36927,548.736,917.314
318,24.7776879,23.1632,2.79932,2.28987,30.1758,17.5549,8.17095,-1.771,-3.46721,-3.96231,525.733,920.403
319,19.28593215,28.066,2.43424,7.72133,18.7115,30.7044,-6.90762,3.37191,-2.83767,-6.58281,773.194,959.645
320,19.56195653,28.738,2.41335,7.51558,18.1904,29.6863,-7.01692,3.20565,-2.61328,-7.02629,755.486,961.793
321,19.74082903,29.2176,2.39258,7.26987,17.5326,28.5657,-7.23507,3.02129,-2.37241,-7.46512,737.743,964.34
322,19.81212331,29.4829,2.37121,6.98516,16.7489,27.359,-7.57083,2.82208,-2.11494,-7.89944,719.963,967.263
323,19.74709019,29.5105,2.34818,6.66289,15.8523,26.0833,-8.03405,2.61128,-1.84049,-8.32864,702.138,970.539
324,19.57656485,29.2768,2.32224,6.30492,14.8564,24.7561,-8.63504,2.39216,-1.54861,-8.75129,684.263,974.138
325,10.79446746,25.4736,2.56277,2.60785,35.0701,19.3209,4.91491,-0.0780971,-3.49284,-6.35293,733.944,958.834
326,10.93963103,25.8965,2.56521,2.36698,34.107,18.8113,4.71901,-0.226828,-3.31328,-6.68827,717.164,960.811
327,11.02525636,26.1406,2.55856,2.12486,33.0046,18.2193,4.41187,-0.402622,-3.17571,-7.07416,700.256,963.298
328,11.04850433,26.1896,2.54267,1.87386,31.7698,17.5653,3.98524,-0.604169,-3.07794,-7.50816,683.225,966.249
329,10.98895551,26.0271,2.51715,1.60606,30.4087,16.8696,3.42928,-0.828681,-3.01426,-7.98393,666.077,969.615
330,10.84353899,25.6369,2.48143,1.31449,28.9268,16.1513,2.73262,-1.07209,-2.97615,-8.492,648.821,973.344
331,12.83328326,22.2383,2.5915,14.8479,36.7519,2.95505,-6.24771,4.35324,-10.0572,-0.208252,760.679,977.494
332,13.04405266,22.538,2.53757,14.2909,35.8674,2.80085,-6.32314,4.12592,-9.71874,-0.719436,745.531,978.614
333,13.16145291,22.6731,2.46243,13.6884,34.8866,2.61792,-6.48315,3.87753,-9.34589,-1.22745,730.317,980.128
334,13.19805073,22.6399,2.3685,13.0498,33.8312,2.41687,-6.72124,3.60937,-8.94925,-1.73822,715.035,982.021
335,13.15793358,22.4346,2.25808,12.3829,32.7198,2.20913,-7.03226,3.3228,-8.53898,-2.2563,699.687,984.274
336,13.01023675,22.0534,2.13323,11.6941,31.5685,2.00587,-7.41239,3.01932,-8.12432,-2.78462,684.271,986.865
337,24.20495224,24.3631,2.50371,5.68161,39.0477,8.12868,6.73134,0.0167293,-10.5274,-5.73054,817.379,912.598
338,24.81725838,24.8921,2.49733,5.27091,38.1759,7.60123,6.81938,-0.457302,-10.6154,-6.84678,798.96,913.164
339,25.17574583,25.2059,2.48312,4.83372,37.0595,7.11765,6.64065,-0.933027,-10.6255,-7.89289,780.454,914.271
340,25.31298071,25.2814,2.46061,4.37003,35.7273,6.67626,6.19421,-1.4077,-10.5557,-8.85633,761.852,915.91
341,25.23127763,25.0924,2.42816,3.87896,34.2072,6.27461,5.48026,-1.87829,-10.4054,-9.72652,743.147,918.065
342,24.86070636,24.6108,2.38297,3.35914,32.5249,5.90976,4.50063,-2.34157,-10.1761,-10.4954,724.334,920.709
343,12.62950213,25.4191,1.70948,7.7693,33.6418,14.0242,-13.849,-0.575692,-12.1476,-7.28731,728.515,941.363
344,12.84088906,25.6545,1.64878,7.133,32.5602,13.3881,-14.1314,-0.859215,-11.9231,-7.98985,712.248,942.685
345,12.94594147,25.7245,1.58065,6.47231,31.3681,12.7074,-14.5084,-1.15736,-11.6781,-8.67872,695.93,944.355
346,12.9598201,25.6193,1.50525,5.79469,30.0832,11.9913,-14.9783,-1.46651,-11.4172,-9.35383,679.55,946.354
